Name,SexuponOutcome,AnimalType,AgeuponOutcome,Breed,Color,DateTime,Outcome,ID
Julio,Neutered Male,Dog,2 months,Cocker Spaniel/Labrador Retriever,Brown/White,2015-11-04 19:01:00,0,32
Rango,Neutered Male,Dog,1 year,Chihuahua Shorthair Mix,Tan/White,2014-05-26 19:13:00,0,33
,Spayed Female,Dog,2 months,Australian Cattle Dog Mix,White/Black,2013-11-04 15:15:00,1,34
Big Foot,Neutered Male,Cat,5 years,Domestic Shorthair Mix,Black/White,2015-05-08 13:15:00,3,35
Butters,Neutered Male,Dog,1 year,Beagle/Pug,Brown/White,2015-05-02 21:28:00,0,36
,Neutered Male,Dog,4 months,Whippet Mix,Black,2014-04-05 13:21:00,1,37
Missy,Spayed Female,Cat,2 years,Domestic Shorthair Mix,Calico,2015-04-16 18:02:00,2,38
Addie,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Tortie,2015-07-28 16:55:00,0,39
Tux,Neutered Male,Dog,13 years,Labrador Retriever Mix,Black/White,2015-01-01 11:28:00,2,40
Beast,Neutered Male,Dog,5 years,American Bulldog Mix,White/Brown,2014-10-06 17:37:00,0,41
Sister,Spayed Female,Dog,3 years,Bruss Griffon Mix,White/Brown,2015-02-21 13:16:00,0,42
,Intact Female,Cat,2 years,Domestic Longhair Mix,Torbie,2015-10-17 09:00:00,1,43
Levi,Neutered Male,Dog,2 months,Labrador Retriever/Siberian Husky,Tan/White,2014-01-09 18:20:00,0,44
Mutt,Spayed Female,Cat,1 year,Domestic Shorthair Mix,Black/White,2014-04-29 17:04:00,2,45
Lucy,Spayed Female,Dog,5 years,Cardigan Welsh Corgi Mix,Sable/White,2015-01-28 10:39:00,3,46
,Spayed Female,Dog,4 years,Shih Tzu/Havanese,Cream,2015-08-10 14:16:00,1,47
Leeloo,Spayed Female,Dog,2 years,Labrador Retriever/Boxer,Black/White,2015-06-01 18:41:00,0,48
Lucy,Intact Female,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,2013-12-09 15:04:00,1,49
Skyler,Neutered Male,Dog,1 year,Catahoula Mix,Blue Merle/Tan,2014-07-09 12:48:00,2,50
,Spayed Female,Dog,2 years,English Bulldog Mix,White,2015-07-24 18:10:00,0,51
Dell,Neutered Male,Dog,7 years,Pit Bull Mix,Brown/White,2014-06-12 16:01:00,0,52
Lady,Spayed Female,Dog,2 years,Pit Bull Mix,White/Black,2015-05-01 11:30:00,3,53
,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Black,2014-12-16 13:59:00,0,54
Napoleon,Neutered Male,Dog,1 year,St. Bernard Rough Coat/Standard Schnauzer,Gray/White,2014-05-04 12:47:00,0,55
Lady,Spayed Female,Dog,7 years,Labrador Retriever Mix,Black,2014-12-04 17:02:00,1,56
Larkspur,Neutered Male,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,2014-09-02 18:47:00,0,57
Luca Lopez,Neutered Male,Dog,1 year,Chihuahua Shorthair Mix,Brown,2015-07-25 17:46:00,0,58
Princess,Spayed Female,Dog,1 year,American Staffordshire Terrier Mix,Brown/White,2015-03-18 15:04:00,0,59
,Spayed Female,Cat,2 months,Domestic Medium Hair Mix,Lynx Point/White,2014-07-12 20:29:00,0,60
Izzy,Spayed Female,Dog,8 years,Pit Bull/Pointer,White/Black,2015-01-29 13:03:00,2,61
Remy,Neutered Male,Dog,9 months,Labrador Retriever/Pit Bull,Black/White,2014-12-04 17:21:00,1,62
Jenkins,Neutered Male,Dog,1 year,German Shepherd Mix,Sable/Tan,2014-07-19 17:01:00,0,63
Dee,Spayed Female,Dog,4 years,Chihuahua Shorthair/Dachshund,Black,2015-04-03 12:44:00,0,64
Dahlia,Spayed Female,Dog,2 years,American Staffordshire Terrier Mix,Blue/White,2016-02-11 17:49:00,0,65
Booker,Spayed Female,Dog,1 year,Dutch Shepherd/Anatol Shepherd,Brown/White,2014-02-23 16:11:00,0,66
Mopac,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,2015-12-10 15:25:00,0,67
Guerra,Spayed Female,Dog,5 years,Pit Bull,Tan,2014-03-03 13:57:00,3,68
Bentley,Neutered Male,Dog,2 years,Miniature Pinscher,Black/Tan,2014-03-28 16:42:00,2,69
Max,Neutered Male,Dog,2 years,Basenji/Jack Russell Terrier,White/Brown,2016-01-13 13:26:00,1,70
Grace,Spayed Female,Dog,2 years,American Staffordshire Terrier Mix,Blue/White,2014-03-09 17:06:00,2,71
,Neutered Male,Dog,3 months,Pointer Mix,White/Black,2015-08-14 17:46:00,0,72
Copper,Neutered Male,Dog,1 year,Dachshund/Chihuahua Shorthair,Black/Tan,2014-12-09 15:18:00,1,73
Marie,Spayed Female,Cat,6 months,Domestic Shorthair Mix,Calico,2014-08-14 13:34:00,0,74
Lady,Intact Female,Dog,3 years,Boxer Mix,Tan/White,2015-08-28 13:01:00,1,75
,Neutered Male,Dog,1 year,Chihuahua Longhair Mix,Cream,2014-05-11 18:30:00,1,76
Blue,Intact Male,Dog,1 month,American Pit Bull Terrier Mix,White/Blue,2015-10-10 13:15:00,2,77
,Neutered Male,Dog,6 years,Dachshund Longhair Mix,Red/Black,2016-02-14 12:30:00,0,78
Sadee Lynn,Spayed Female,Dog,6 years,Beagle/Jack Russell Terrier,White/Tan,2014-01-29 16:09:00,2,79
Charlie,Neutered Male,Dog,4 years,Labrador Retriever Mix,Brown/White,2014-05-28 11:22:00,2,80
Cassie,Spayed Female,Cat,2 years,Domestic Shorthair,Calico,2014-11-25 14:10:00,1,81
Dodge,Neutered Male,Dog,2 years,Labrador Retriever Mix,Black/White,2015-06-14 18:47:00,2,82
,Spayed Female,Dog,10 months,Chihuahua Shorthair Mix,Black/Tricolor,2015-07-17 13:30:00,0,83
Gus,Neutered Male,Cat,9 years,Maine Coon,Brown Tabby,2014-02-06 12:19:00,1,84
Christie,Spayed Female,Dog,1 month,Australian Cattle Dog Mix,White/Chocolate,2014-08-13 16:07:00,0,85
Bandit,Intact Male,Dog,1 year,Standard Schnauzer Mix,Tricolor,2015-08-09 17:12:00,2,86
,Neutered Male,Dog,1 month,Labrador Retriever Mix,Cream/White,2015-02-07 17:45:00,0,87
,Unknown,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,2015-05-22 14:22:00,1,88
Debo,Intact Male,Dog,1 year,Pit Bull Mix,Brown Brindle/White,2015-04-01 11:59:00,2,89
Posie,Spayed Female,Dog,1 year,Chihuahua Shorthair Mix,Tan,2013-11-27 14:33:00,1,90
Lady,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,2014-08-15 15:35:00,0,91
Vega,Spayed Female,Dog,6 years,Pit Bull Mix,Red/White,2014-07-20 11:13:00,1,92
,Spayed Female,Dog,4 months,Jack Russell Terrier Mix,White/Orange,2014-12-09 17:36:00,0,93
,Intact Female,Cat,1 year,Siamese Mix,Lynx Point/White,2015-11-01 09:00:00,1,94
,Spayed Female,Dog,6 months,German Shepherd Mix,Brown/Black,2015-11-27 13:31:00,1,95
August,Neutered Male,Dog,2 years,Pit Bull Mix,Blue/White,2015-08-01 12:30:00,0,96
Betty,Spayed Female,Dog,1 year,Pit Bull Mix,White/Tan,2016-01-13 18:23:00,0,97
Gavroche,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,2013-10-19 17:31:00,0,98
Nukeem,Neutered Male,Dog,3 years,English Bulldog,White/Black,2015-03-24 08:00:00,2,99
Luna,Spayed Female,Dog,2 years,German Shepherd,Black/Brown,2015-08-23 18:44:00,2,100
Eli,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Black/White,2015-12-13 13:34:00,0,101
,Spayed Female,Dog,2 months,Dachshund Mix,Tan/White,2015-09-17 16:40:00,0,102
Isabella,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Black,2015-12-15 11:55:00,0,103
Sammy,Spayed Female,Dog,2 years,German Shepherd Mix,White,2015-06-11 14:02:00,2,104
,Intact Female,Cat,3 months,Domestic Shorthair Mix,Orange Tabby,2013-10-29 15:53:00,1,105
Blackberry,Neutered Male,Cat,3 years,Domestic Shorthair Mix,Black,2013-11-19 15:25:00,0,106
Mega,Intact Male,Dog,2 years,Pit Bull Mix,White/Brown,2015-12-31 13:29:00,1,107
,Intact Male,Cat,3 years,Siamese Mix,Flame Point,2015-01-22 09:00:00,1,108
Rosco,Neutered Male,Dog,3 years,Pit Bull Mix,Blue/White,2013-12-11 14:56:00,2,109
Aziz,Neutered Male,Cat,8 years,Domestic Medium Hair Mix,Black/White,2015-05-26 17:17:00,1,110
Binx,Neutered Male,Cat,3 months,Domestic Shorthair Mix,Black,2015-10-21 11:18:00,0,111
Molina,Spayed Female,Dog,10 months,Anatol Shepherd/Great Pyrenees,White,2015-11-09 17:02:00,0,112
,Unknown,Cat,2 weeks,Domestic Shorthair Mix,Orange Tabby,2015-05-16 18:41:00,1,113
Peaches,Intact Male,Cat,2 years,Domestic Shorthair Mix,Cream Tabby,2013-12-18 14:38:00,1,114
Chico,Neutered Male,Dog,9 years,Labrador Retriever,Tan/Brown,2015-05-29 00:00:00,2,115
,Intact Male,Dog,1 month,Boxer Mix,Brown/White,2014-05-25 12:06:00,1,116
May,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,2015-06-28 13:40:00,0,117
Frenchie,Spayed Female,Dog,2 months,Catahoula Mix,White/Blue,2015-08-23 19:43:00,0,118
Caleb,Neutered Male,Dog,10 years,Border Collie/German Shepherd,Black/Brown,2013-12-20 17:32:00,1,119
,Intact Female,Cat,3 days,Domestic Shorthair Mix,Torbie,2014-04-02 15:13:00,1,120
Stanley,Neutered Male,Dog,2 years,Pointer Mix,Tan/White,2013-10-11 17:38:00,0,121
Chip,Neutered Male,Dog,7 years,Miniature Schnauzer Mix,Black,2015-10-06 13:59:00,1,122
,Intact Female,Cat,7 years,Domestic Medium Hair Mix,Blue Tabby/White,2015-11-10 13:03:00,1,123
Oliver,Neutered Male,Cat,5 years,Domestic Shorthair Mix,Orange/White,2015-08-27 12:54:00,2,124
Travis,Neutered Male,Dog,2 years,German Shepherd Mix,Black/Tan,2015-04-07 08:19:00,0,125
,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Torbie/White,2014-10-24 12:35:00,0,126
Flynn,Neutered Male,Dog,2 months,Labrador Retriever/Blue Lacy,Blue/White,2014-07-24 12:33:00,0,127
Bouncer,Neutered Male,Dog,1 year,Chihuahua Shorthair,Black/White,2015-01-18 13:35:00,1,128
Perrywinkle,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Blue,2014-09-05 16:57:00,0,129
Bastet,Intact Male,Cat,1 month,Domestic Shorthair Mix,Black,2014-11-28 11:12:00,4,130
Cleopatra,Spayed Female,Dog,4 years,American Staffordshire Terrier,Brown/White,2015-01-31 17:47:00,0,131
,Intact Male,Cat,1 year,Domestic Medium Hair Mix,Orange Tabby/White,2014-02-25 11:30:00,3,132
Spicy,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Tortie,2015-06-15 15:39:00,1,133
Jones,Neutered Male,Dog,3 months,Catahoula Mix,White/Brown Brindle,2014-03-29 17:56:00,1,134
Midnight,Neutered Male,Dog,1 year,Labrador Retriever Mix,Black/White,2013-12-15 16:19:00,0,135
Haley,Spayed Female,Dog,5 months,Chihuahua Longhair Mix,Chocolate,2014-08-26 18:08:00,0,136
South,Spayed Female,Dog,1 month,Labrador Retriever/Australian Shepherd,Black/White,2014-07-09 16:40:00,0,137
Leela,Spayed Female,Dog,6 months,German Shepherd/Chow Chow,Black/Brown,2014-05-31 12:16:00,0,138
Rex,Neutered Male,Dog,5 years,German Shepherd,Brown/Black,2014-08-07 17:35:00,2,139
,Intact Female,Dog,1 month,Pit Bull/Flat Coat Retriever,Blue/White,2014-09-29 13:08:00,1,140
Harold,Neutered Male,Cat,13 years,Siamese Mix,Lilac Point,2014-10-18 16:32:00,0,141
Dody Becerra,Neutered Male,Dog,8 months,Beagle/Dachshund,Brown Brindle/White,2013-10-12 18:21:00,2,142
Fluffy,Neutered Male,Dog,3 years,Great Pyrenees/Anatol Shepherd,White/Black,2015-03-21 14:43:00,2,143
,Unknown,Cat,4 weeks,Domestic Shorthair Mix,Brown Tabby,2014-09-26 14:50:00,1,144
Copper,Neutered Male,Dog,1 year,Basset Hound,White/Black,2014-11-16 12:18:00,2,145
Creamsicle,Neutered Male,Cat,2 years,Domestic Shorthair Mix,Cream Tabby/White,2015-06-16 18:56:00,0,146
Lucy,Spayed Female,Dog,3 years,Chihuahua Shorthair Mix,White,2014-05-05 12:11:00,2,147
Beth,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Tortie,2015-08-26 17:33:00,0,148
,Intact Male,Dog,2 days,Pit Bull Mix,Chocolate/White,2014-12-27 12:11:00,1,149
George,Neutered Male,Cat,2 months,Domestic Medium Hair Mix,Cream Tabby/White,2015-10-19 19:07:00,0,150
,Neutered Male,Dog,3 months,Labrador Retriever Mix,Black/White,2013-11-25 17:53:00,0,151
Yabba,Spayed Female,Dog,3 years,Pit Bull Mix,White/Brown,2016-02-08 18:02:00,2,152
Scooby,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,2014-08-04 17:49:00,0,153
,Intact Female,Dog,2 years,Chihuahua Shorthair Mix,White/Tan,2015-02-11 14:48:00,3,154
,Intact Male,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,2013-11-20 15:08:00,3,155
Leon,Neutered Male,Dog,3 years,Chihuahua Shorthair Mix,Sable,2015-04-13 15:03:00,2,156
Tazz,Neutered Male,Cat,3 months,Domestic Shorthair Mix,Cream Tabby/White,2016-01-24 16:23:00,0,157
Zeus,Intact Male,Dog,1 year,German Shepherd Mix,Brown/Black,2016-02-13 16:14:00,2,158
Deebs,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,2015-09-02 18:36:00,0,159
Oso,Neutered Male,Dog,3 months,Anatol Shepherd Mix,White/Brown,2013-11-17 12:53:00,1,160
,Spayed Female,Dog,2 months,Chihuahua Shorthair/Jack Russell Terrier,Buff/Yellow,2014-06-22 18:40:00,0,161
,Intact Male,Cat,4 weeks,Domestic Shorthair Mix,Brown Tabby,2014-09-06 17:33:00,1,162
Sparky,Spayed Female,Dog,11 years,Border Collie Mix,Black/Tan,2015-06-07 12:45:00,2,163
Dagwood,Intact Male,Dog,2 months,German Shepherd Mix,Black/Tan,2014-07-18 14:27:00,1,164
,Intact Male,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,2015-06-29 16:35:00,1,165
,Neutered Male,Cat,3 months,Domestic Shorthair Mix,Black,2014-12-16 17:52:00,0,166
,Intact Male,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,2014-04-26 12:02:00,1,167
Simba,Neutered Male,Dog,3 years,Chow Chow Mix,Red,2015-11-19 18:45:00,0,168
Phoenix,Intact Male,Dog,1 year,Pug Mix,Brown/White,2013-10-16 17:12:00,1,169
Rex,Neutered Male,Dog,7 years,Golden Retriever Mix,Gold,2014-12-04 18:51:00,1,170
Marcus,Neutered Male,Dog,6 years,American Bulldog Mix,White,2015-03-28 11:25:00,2,171
,Neutered Male,Dog,2 years,Black/Tan Hound Mix,Black/Tan,2013-11-09 18:27:00,0,172
Duke,Neutered Male,Dog,2 years,Plott Hound Mix,Black,2015-04-30 14:06:00,0,173
Fiona,Intact Female,Dog,12 years,Chihuahua Shorthair Mix,Black/White,2014-02-23 10:59:00,1,174
,Intact Male,Cat,2 months,Domestic Shorthair Mix,Black/White,2014-07-20 16:25:00,0,175
,Intact Female,Cat,3 weeks,Domestic Shorthair Mix,Tortie,2014-08-27 15:19:00,3,176
Kennedy,Neutered Male,Dog,3 years,German Shepherd Mix,Tan/Black,2016-01-12 17:56:00,0,177
,Neutered Male,Cat,1 month,Domestic Shorthair Mix,Orange Tabby/White,2015-12-12 15:04:00,0,178
Chuy,Neutered Male,Dog,3 years,Pit Bull Mix,White/Brown,2014-04-27 12:19:00,2,179
Remus,Neutered Male,Dog,3 months,Catahoula Mix,White/Blue,2015-06-09 17:38:00,0,180
,Intact Female,Cat,8 years,Domestic Medium Hair Mix,Orange Tabby,2015-06-09 15:54:00,1,181
Baby,Spayed Female,Dog,1 year,Labrador Retriever Mix,Black/White,2013-11-21 16:21:00,0,182
Nickel,Intact Male,Cat,2 months,Domestic Shorthair Mix,Blue,2015-07-03 12:23:00,1,183
,Unknown,Cat,1 weeks,Domestic Shorthair Mix,Brown Tabby,2015-10-02 12:37:00,1,184
Yumyum,Spayed Female,Cat,5 years,Domestic Shorthair Mix,Tortie,2016-01-14 16:18:00,2,185
Starla,Spayed Female,Dog,1 year,Labrador Retriever Mix,Chocolate,2013-12-24 11:10:00,2,186
Bailey,Spayed Female,Dog,4 months,Anatol Shepherd Mix,Tan/White,2013-11-25 17:52:00,0,187
Sadie,Intact Female,Dog,10 years,Labrador Retriever Mix,Yellow/White,2015-06-21 13:00:00,4,188
Charcoal,Neutered Male,Dog,1 year,Labrador Retriever Mix,Blue/White,2013-10-09 18:38:00,0,189
Wild Child,Neutered Male,Cat,1 year,Domestic Shorthair Mix,Orange Tabby,2015-12-28 14:29:00,1,190
,Neutered Male,Cat,8 years,Domestic Shorthair Mix,Black,2013-11-20 19:11:00,1,191
Buttercup,Spayed Female,Dog,7 years,Labrador Retriever,Black,2014-05-10 14:43:00,1,192
Flint,Neutered Male,Dog,1 year,Pit Bull Mix,Brown Brindle/White,2014-12-08 14:16:00,0,193
Sumi,Spayed Female,Cat,6 months,Siamese Mix,Lynx Point,2015-06-22 17:34:00,0,194
Zelda,Spayed Female,Cat,2 years,Siamese Mix,Seal Point,2015-07-04 11:07:00,1,195
,Intact Female,Cat,4 months,Manx,Black/White,2015-11-24 12:22:00,1,196
,Intact Female,Cat,3 weeks,Domestic Shorthair Mix,Tortie,2015-10-15 12:30:00,1,197
Diego,Neutered Male,Dog,1 year,Chihuahua Shorthair Mix,Black/White,2014-11-14 14:05:00,0,198
Cole,Neutered Male,Dog,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Sable/Cream,2015-02-20 12:00:00,1,199
Bossette,Spayed Female,Dog,1 year,Chihuahua Shorthair Mix,Brown,2015-04-28 17:19:00,2,200
Nick,Intact Male,Cat,2 months,Siamese Mix,Flame Point,2015-05-21 18:18:00,0,201
Meera,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Tortie/White,2014-07-01 17:33:00,0,202
,Intact Male,Cat,5 months,Siamese Mix,Seal Point,2014-08-17 09:00:00,1,203
Fallon,Spayed Female,Dog,2 months,Labrador Retriever Mix,Black/White,2015-04-03 16:52:00,1,204
Scarlett,Spayed Female,Dog,2 years,Australian Shepherd,Black/Brown,2014-01-05 18:04:00,0,205
Wallace,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,2015-09-06 18:04:00,0,206
Copy Cat,Spayed Female,Cat,15 years,Domestic Shorthair Mix,Blue,2013-10-22 18:33:00,3,207
,Neutered Male,Dog,12 years,Australian Shepherd Mix,Black/Gray,2015-02-05 12:04:00,3,208
Rumierre,Neutered Male,Cat,13 years,Domestic Medium Hair Mix,Brown Tabby/White,2015-08-22 14:28:00,0,209
,Intact Female,Cat,1 year,Domestic Shorthair Mix,Calico,2015-11-01 09:00:00,1,210
Lance,Neutered Male,Dog,11 years,Border Collie Mix,White/Brown,2013-11-11 13:32:00,2,211
Giovanni,Neutered Male,Dog,10 years,Australian Cattle Dog/Pit Bull,White/Black,2015-09-26 11:15:00,2,212
Pepper,Spayed Female,Cat,13 years,Domestic Shorthair Mix,Brown Tabby/White,2015-05-09 19:07:00,0,213
Peach,Spayed Female,Dog,2 years,Queensland Heeler Mix,White,2015-11-07 16:17:00,0,214
Lika,Intact Female,Dog,6 years,Pit Bull Mix,Brown Brindle/White,2014-11-17 16:11:00,2,215
Buttercup,Spayed Female,Cat,1 year,Domestic Shorthair Mix,White/Gray,2014-05-07 14:50:00,1,216
Daisy,Spayed Female,Dog,4 years,Jack Russell Terrier/Chihuahua Shorthair,Tricolor,2015-09-19 12:33:00,0,217
,Intact Female,Cat,2 years,Domestic Shorthair Mix,Blue Tabby,2015-01-20 09:00:00,1,218
Baby,Spayed Female,Dog,6 years,Pit Bull Mix,White/Tan,2013-12-29 16:51:00,3,219
Shadow,Spayed Female,Dog,10 years,Beagle,Tricolor,2014-01-19 18:04:00,2,220
Roscoe,Neutered Male,Dog,1 year,Labrador Retriever Mix,Black/White,2013-12-13 15:54:00,0,221
,Unknown,Cat,4 weeks,Domestic Shorthair Mix,Brown Tabby,2015-06-21 16:53:00,1,222
Jewels,Spayed Female,Dog,4 years,Siberian Husky Mix,Sable/Cream,2015-01-13 18:41:00,2,223
Blu,Neutered Male,Dog,4 years,Pit Bull Mix,Blue/White,2014-06-14 15:11:00,3,224
Bella Boo,Spayed Female,Cat,1 year,Domestic Shorthair Mix,Blue Tabby,2015-12-07 16:29:00,2,225
Jones,Neutered Male,Cat,2 months,Domestic Medium Hair Mix,Cream Tabby/White,2014-11-20 12:33:00,1,226
Clutch,Neutered Male,Cat,3 years,Domestic Medium Hair Mix,Black/White,2016-02-14 16:19:00,0,227
Venus,Spayed Female,Dog,11 years,Chow Chow Mix,Brown/Black,2016-01-06 14:16:00,2,228
Curly,Neutered Male,Cat,4 months,Devon Rex Mix,Cream,2015-11-17 18:41:00,2,229
,Intact Female,Dog,3 weeks,Labrador Retriever Mix,Black/White,2014-10-22 17:47:00,1,230
Pancake,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Calico,2015-08-07 12:38:00,0,231
Lucky,Neutered Male,Dog,10 years,Lhasa Apso/Miniature Poodle,Cream,2015-01-11 18:42:00,0,232
Tom,Intact Female,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,2014-06-23 17:26:00,3,233
,Spayed Female,Dog,1 year,Miniature Poodle Mix,Gray,2014-10-11 19:06:00,0,234
,Intact Male,Cat,9 months,Domestic Shorthair Mix,Orange Tabby,2015-07-28 09:00:00,1,235
Elliot,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,2014-07-27 12:16:00,0,236
Cookie,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Black,2013-10-13 13:36:00,0,237
Magoo,Neutered Male,Dog,11 years,Miniature Poodle/Cocker Spaniel,White,2015-07-23 14:45:00,1,238
Samhain,Neutered Male,Cat,4 months,Domestic Shorthair Mix,Black,2014-09-21 17:18:00,0,239
Percy,Neutered Male,Cat,3 years,Domestic Shorthair Mix,Black,2015-01-26 14:55:00,1,240
Sam,Neutered Male,Dog,4 years,Bruss Griffon Mix,Brown,2014-10-07 17:29:00,0,241
Breezy,Spayed Female,Dog,2 years,Pointer Mix,White/Black,2015-03-07 12:27:00,1,242
Bandit,Neutered Male,Dog,8 months,Labrador Retriever Mix,Gold,2013-10-11 11:59:00,1,243
Chubbs,Neutered Male,Dog,4 years,Cairn Terrier Mix,Tan/White,2015-04-08 18:06:00,2,244
Kitty Pie,Spayed Female,Cat,2 years,Domestic Shorthair Mix,Orange Tabby/White,2015-09-07 18:11:00,2,245
River,Intact Female,Cat,2 months,Domestic Shorthair Mix,Black/White,2014-06-28 13:45:00,0,246
Smokey,Neutered Male,Cat,13 years,Domestic Shorthair Mix,Silver Tabby,2015-11-29 19:17:00,0,247
,Intact Female,Cat,3 weeks,Domestic Shorthair Mix,Blue Tabby,2015-08-15 18:06:00,1,248
,Spayed Female,Dog,2 years,Chihuahua Shorthair Mix,Tan/White,2014-12-07 13:11:00,0,249
,Intact Female,Dog,5 months,Labrador Retriever/Basset Hound,Black,2013-10-06 13:37:00,1,250
,Intact Male,Cat,1 year,Domestic Shorthair Mix,Blue,2014-10-20 09:00:00,1,251
Theodore,Neutered Male,Dog,4 months,Labrador Retriever Mix,Black/White,2015-05-25 18:35:00,0,252
Niki,Spayed Female,Dog,1 month,Pit Bull Mix,Tan,2014-04-25 17:30:00,0,253
Jack,Neutered Male,Dog,14 years,Rat Terrier Mix,Tricolor,2013-10-18 13:46:00,1,254
Bert,Neutered Male,Cat,4 years,Domestic Shorthair Mix,Black/White,2013-10-12 18:58:00,0,255
